trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:1773,16:19:00,17:19:00,1800,1
1:AVL---:1660,22:25:00,23:55:00,1800,1
1:AVL---:1714,05:43:00,07:13:00,1800,1
1:AVL---:2005,05:31:00,06:31:00,1800,1
1:AVL---:2083,10:15:00,16:15:00,7200,1
1:AVL---:978,09:51:00,10:21:00,900,1
1:AVL---:1638,11:22:00,19:22:00,1800,1
1:AVL---:964,06:42:00,19:27:00,900,1
1:AVL---:2068,11:37:00,19:37:00,1800,1
1:AVL---:2058,07:58:00,10:58:00,1800,1
1:AVL---:1010,09:05:00,10:35:00,1800,1
1:AVL---:1038,13:35:00,14:05:00,900,1
1:AVL---:961,07:50:00,19:05:00,900,1
1:AVL---:1604,06:01:00,06:51:00,600,1
1:AVL---:859,08:01:00,19:21:00,1200,1
1:AVL---:1595,06:07:00,06:37:00,900,1
1:AVL---:1535,06:07:00,07:37:00,1800,1
1:AVL---:1114,17:21:00,17:33:00,360,1
1:AVL---:1061,05:13:00,05:43:00,900,1
1:AVL---:1075,14:52:00,16:22:00,600,1
1:AVL---:1658,18:25:00,19:55:00,1800,1
1:AVL---:831,20:19:00,21:19:00,1800,1
1:AVL---:1670,06:01:00,06:41:00,1200,1
1:AVL---:1525,11:37:00,19:37:00,1800,1
1:AVL---:858,06:28:00,19:28:00,1200,1
1:AVL---:1627,06:43:00,19:23:00,1200,1
1:AVL---:1706,17:12:00,18:12:00,1800,1
1:AVL---:2029,05:22:00,07:52:00,1800,1
1:AVL---:1804,16:50:00,18:20:00,1800,1
1:AVL---:1111,08:46:00,16:46:00,600,1
1:AVL---:974,05:38:00,07:38:00,1800,1
1:AVL---:1537,06:54:00,07:24:00,900,1
1:AVL---:2028,22:22:00,23:52:00,1800,1
1:AVL---:1118,05:47:00,06:27:00,1200,1
1:AVL---:1621,11:54:00,19:54:00,1800,1
1:AVL---:1870,19:56:00,23:26:00,1800,1
1:AVL---:1908,13:40:00,17:00:00,600,1
1:AVL---:972,20:11:00,21:41:00,1800,1
1:AVL---:2067,22:04:00,23:34:00,1800,1
1:AVL---:1289,20:29:00,22:29:00,3600,1
1:AVL---:1720,08:43:00,19:13:00,5400,1
1:AVL---:1793,07:52:00,17:52:00,7200,1
1:AVL---:1102,06:56:00,07:16:00,600,1
1:AVL---:1786,17:20:00,18:20:00,1800,1
1:AVL---:1615,20:21:00,21:51:00,1800,1
1:AVL---:883,14:49:00,15:29:00,1200,1
1:AVL---:1767,07:49:00,17:49:00,7200,1
1:AVL---:891,06:02:00,07:32:00,1800,1
1:AVL---:1086,06:49:00,10:49:00,1800,1
1:AVL---:2035,07:49:00,10:49:00,1800,1
1:AVL---:1457,08:16:00,18:46:00,1800,1
1:AVL---:1823,07:10:00,08:30:00,1200,1
1:AVL---:850,11:34:00,19:34:00,1800,1
1:AVL---:1906,08:30:00,10:20:00,600,1
1:AVL---:1624,08:52:00,11:22:00,1800,1
1:AVL---:965,08:01:00,19:31:00,900,1
1:AVL---:886,18:49:00,19:29:00,1200,1
1:AVL---:1275,20:21:00,21:21:00,1800,1
1:AVL---:1001,08:20:00,10:50:00,1800,1
1:AVL---:874,08:59:00,10:59:00,1800,1
1:AVL---:1392,19:05:00,19:35:00,900,1
1:AVL---:854,08:34:00,11:04:00,1800,1
1:AVL---:987,18:51:00,19:21:00,900,1
1:AVL---:1782,09:20:00,10:20:00,1800,1
1:AVL---:1076,16:42:00,18:12:00,600,1
1:AVL---:1618,08:51:00,10:51:00,1800,1
1:AVL---:901,11:36:00,19:36:00,1800,1
