service_id,date,exception_type
84,20160517,1
84,20160518,1
113,20160523,1
84,20160515,1
84,20160516,1
92,20160410,1
18,20160411,1
113,20160521,1
18,20160410,1
18,20160414,1
18,20160413,1
92,20160418,1
13,20160415,1
92,20160417,1
13,20160414,1
92,20160416,1
13,20160413,1
92,20160415,1
13,20160412,1
92,20160414,1
92,20160413,1
13,20160417,1
112,20160430,1
92,20160411,1
13,20160416,1
112,20160425,1
97,20160414,1
97,20160413,1
112,20160423,1
13,20160411,1
112,20160427,1
113,20160514,1
97,20160416,1
92,20160421,1
92,20160420,1
92,20160429,1
92,20160428,1
92,20160427,1
92,20160426,1
92,20160425,1
13,20160408,1
92,20160424,1
13,20160407,1
92,20160423,1
92,20160422,1
33,20160503,1
97,20160425,1
33,20160502,1
33,20160505,1
33,20160504,1
33,20160501,1
33,20160506,1
33,20160508,1
33,20160514,1
36,20160414,1
33,20160513,1
36,20160413,1
108,20160410,1
33,20160515,1
33,20160510,1
36,20160418,1
33,20160511,1
36,20160419,1
18,20160419,1
108,20160413,1
108,20160414,1
33,20160519,1
18,20160422,1
18,20160421,1
18,20160420,1
108,20160419,1
64,20160419,1
64,20160413,1
64,20160414,1
36,20160421,1
36,20160420,1
36,20160422,1
46,20160418,1
46,20160419,1
46,20160416,1
46,20160417,1
33,20160521,1
36,20160407,1
46,20160414,1
33,20160520,1
46,20160415,1
74,20160422,1
33,20160523,1
36,20160409,1
74,20160425,1
33,20160522,1
36,20160408,1
46,20160413,1
74,20160424,1
74,20160427,1
74,20160426,1
123,20160501,1
123,20160502,1
123,20160504,1
123,20160506,1
2,20160504,1
46,20160421,1
2,20160505,1
123,20160508,1
46,20160422,1
2,20160506,1
46,20160420,1
36,20160410,1
2,20160502,1
36,20160412,1
2,20160503,1
36,20160411,1
46,20160429,1
46,20160427,1
46,20160428,1
46,20160425,1
46,20160426,1
46,20160423,1
74,20160414,1
46,20160424,1
74,20160413,1
74,20160416,1
74,20160415,1
74,20160418,1
74,20160417,1
46,20160430,1
37,20160515,1
37,20160513,1
37,20160514,1
1,20160512,1
1,20160516,1
37,20160522,1
1,20160517,1
37,20160523,1
37,20160520,1
37,20160521,1
1,20160518,1
65,20160413,1
65,20160414,1
37,20160504,1
37,20160505,1
37,20160502,1
37,20160503,1
37,20160506,1
126,20160425,1
37,20160511,1
1,20160509,1
1,20160507,1
60,20160519,1
57,20160520,1
126,20160416,1
93,20160518,1
93,20160517,1
93,20160519,1
60,20160510,1
126,20160414,1
32,20160429,1
126,20160413,1
57,20160511,1
60,20160517,1
60,20160518,1
60,20160515,1
60,20160516,1
60,20160513,1
60,20160514,1
60,20160511,1
60,20160512,1
60,20160520,1
60,20160521,1
57,20160502,1
32,20160414,1
60,20160522,1
32,20160413,1
60,20160523,1
122,20160423,1
113,20160424,1
113,20160426,1
12,20160430,1
92,20160430,1
12,20160423,1
12,20160429,1
113,20160417,1
113,20160413,1
12,20160420,1
113,20160414,1
12,20160421,1
113,20160415,1
12,20160413,1
12,20160414,1
12,20160411,1
12,20160412,1
122,20160430,1
98,20160410,1
98,20160411,1
98,20160413,1
98,20160414,1
122,20160414,1
122,20160413,1
98,20160420,1
89,20160520,1
89,20160511,1
89,20160510,1
99,20160522,1
99,20160523,1
99,20160520,1
99,20160521,1
89,20160519,1
89,20160502,1
89,20160501,1
89,20160508,1
76,20160523,1
80,20160507,1
80,20160509,1
76,20160520,1
76,20160521,1
76,20160522,1
0,20160408,1
0,20160407,1
0,20160409,1
0,20160402,1
0,20160401,1
0,20160404,1
0,20160403,1
0,20160406,1
0,20160405,1
76,20160512,1
76,20160513,1
76,20160514,1
76,20160515,1
76,20160511,1
45,20160428,1
45,20160429,1
76,20160516,1
76,20160517,1
76,20160518,1
0,20160419,1
0,20160418,1
6,20160419,1
45,20160420,1
78,20160414,1
78,20160413,1
0,20160411,1
0,20160410,1
0,20160413,1
70,20160508,1
0,20160412,1
